exchange     symbol               timeframe  start_date_utc            method        
-------------------------------------------------------------------------------------
binance      BNB/USDC             1h         2018-12-15T03:00:00.000Z  since_zero    
binance      BTC/USDC             1h         2018-12-15T03:00:00.000Z  since_zero    
binance      ETH/USDC             1h         2018-12-15T03:00:00.000Z  since_zero    
binance      XRP/USDC             1h         2018-12-15T03:00:00.000Z  since_zero    
binance      EOS/USDC             1h         2018-12-15T03:00:00.000Z  since_zero    
binance      XLM/USDC             1h         2018-12-15T03:00:00.000Z  since_zero    
binance      LINK/USDC            1h         2019-01-16T10:00:00.000Z  since_zero    
binance      WAVES/USDC           1h         2019-01-18T10:00:00.000Z  since_zero    
binance      BCHABC/USDC          1h         2019-01-22T10:00:00.000Z  since_zero    
binance      BSV/USDC             1h         2019-01-22T10:00:00.000Z  since_zero    
binance      LTC/USDC             1h         2019-01-24T10:00:00.000Z  since_zero    
binance      TRX/USDC             1h         2019-01-24T10:00:00.000Z  since_zero    
binance      USDSOLD/USDC         1h         2019-02-14T10:00:00.000Z  since_zero    
binance      BTT/USDC             1h         2019-02-15T10:00:00.000Z  since_zero    
binance      ZEC/USDC             1h         2019-03-21T04:00:00.000Z  since_zero    
binance      ADA/USDC             1h         2019-03-27T04:00:00.000Z  since_zero    
binance      NEO/USDC             1h         2019-03-27T04:00:00.000Z  since_zero    
binance      ATOM/USDC            1h         2019-05-07T12:00:00.000Z  since_zero    
binance      ETC/USDC             1h         2019-05-08T10:00:00.000Z  since_zero    
binance      BAT/USDC             1h         2019-05-08T10:00:00.000Z  since_zero    
binance      PHB/USDC             1h         2019-05-24T04:00:00.000Z  since_zero    
binance      TFUEL/USDC           1h         2019-05-24T10:00:00.000Z  since_zero    
binance      ONE/USDC             1h         2019-06-01T04:00:00.000Z  since_zero    
binance      FTM/USDC             1h         2019-06-11T04:00:00.000Z  since_zero    
binance      BCPT/USDC            1h         2019-06-19T04:00:00.000Z  since_zero    
binance      ALGO/USDC            1h         2019-06-22T00:00:00.000Z  since_zero    
binance      GTO/USDC             1h         2019-07-01T11:00:00.000Z  since_zero    
binance      ERD/USDC             1h         2019-07-04T08:00:00.000Z  since_zero    
binance      DOGE/USDC            1h         2019-07-05T12:00:00.000Z  since_zero    
binance      DUSK/USDC            1h         2019-07-22T10:00:00.000Z  since_zero    
binance      BGBP/USDC            1h         2019-07-23T04:00:00.000Z  since_zero    
binance      ANKR/USDC            1h         2019-07-23T14:00:00.000Z  since_zero    
binance      ONT/USDC             1h         2019-07-27T04:00:00.000Z  since_zero    
binance      WIN/USDC             1h         2019-08-01T10:00:00.000Z  since_zero    
binance      NPXS/USDC            1h         2019-08-13T11:00:00.000Z  since_zero    
binance      TOMO/USDC            1h         2019-08-24T13:00:00.000Z  since_zero    
binance      PERL/USDC            1h         2019-08-26T12:00:00.000Z  since_zero    
binance      BCH/USDC             1h         2019-11-28T10:00:00.000Z  since_zero    
binance      SOL/USDC             1h         2021-09-24T10:00:00.000Z  since_zero    
binance      AUD/USDC             1h         2021-11-05T10:00:00.000Z  since_zero    
binance      BTTC/USDC            1h         2022-01-25T04:00:00.000Z  since_zero    
binance      ARB/USDC             1h         2023-12-28T08:00:00.000Z  since_zero    
binance      AVAX/USDC            1h         2023-12-28T08:00:00.000Z  since_zero    
binance      DOT/USDC             1h         2023-12-28T08:00:00.000Z  since_zero    
binance      INJ/USDC             1h         2023-12-28T08:00:00.000Z  since_zero    
binance      MATIC/USDC           1h         2023-12-28T08:00:00.000Z  since_zero    
binance      OP/USDC              1h         2023-12-28T08:00:00.000Z  since_zero    
binance      ORDI/USDC            1h         2023-12-28T08:00:00.000Z  since_zero    
binance      SUI/USDC             1h         2024-01-19T08:00:00.000Z  since_zero    
binance      TIA/USDC             1h         2024-01-19T08:00:00.000Z  since_zero    
binance      MANTA/USDC           1h         2024-01-24T08:00:00.000Z  since_zero    
binance      BLUR/USDC            1h         2024-01-26T08:00:00.000Z  since_zero    
binance      ALT/USDC             1h         2024-02-02T08:00:00.000Z  since_zero    
binance      SEI/USDC             1h         2024-02-02T08:00:00.000Z  since_zero    
binance      JUP/USDC             1h         2024-02-07T08:00:00.000Z  since_zero    
binance      FIL/USDC             1h         2024-02-23T08:00:00.000Z  since_zero    
binance      WLD/USDC             1h         2024-02-23T08:00:00.000Z  since_zero    
binance      UNI/USDC             1h         2024-02-28T08:00:00.000Z  since_zero    
binance      PIXEL/USDC           1h         2024-03-05T08:00:00.000Z  since_zero    
binance      STRK/USDC            1h         2024-03-05T08:00:00.000Z  since_zero    
binance      PEPE/USDC            1h         2024-03-07T08:00:00.000Z  since_zero    
binance      SHIB/USDC            1h         2024-03-07T08:00:00.000Z  since_zero    
binance      NEAR/USDC            1h         2024-03-13T08:00:00.000Z  since_zero    
binance      FET/USDC             1h         2024-03-14T08:00:00.000Z  since_zero    
binance      EUR/USDC             1h         2024-03-14T08:00:00.000Z  since_zero    
binance      BONK/USDC            1h         2024-03-27T13:00:00.000Z  since_zero    
binance      FLOKI/USDC           1h         2024-03-27T13:00:00.000Z  since_zero    
binance      PENDLE/USDC          1h         2024-04-03T08:00:00.000Z  since_zero    
binance      BOME/USDC            1h         2024-04-05T08:00:00.000Z  since_zero    
binance      JTO/USDC             1h         2024-04-05T08:00:00.000Z  since_zero    
binance      WIF/USDC             1h         2024-04-05T08:00:00.000Z  since_zero    
binance      CKB/USDC             1h         2024-04-11T08:00:00.000Z  since_zero    
binance      ENA/USDC             1h         2024-04-11T08:00:00.000Z  since_zero    
binance      ETHFI/USDC           1h         2024-04-11T08:00:00.000Z  since_zero    
binance      YGG/USDC             1h         2024-04-11T08:00:00.000Z  since_zero    
binance      CFX/USDC             1h         2024-04-17T08:00:00.000Z  since_zero    
